食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
あずき　あん　こし練りあん　並あん,255,35,5.6,0.3,58.8,0
あずき　あん　こし練りあん　中割りあん,262,33.2,5.1,0.3,61.1,0
あずき　あん　こし練りあん　もなかあん,292,25.7,5.1,0.3,68.6,0
あずき　あん　つぶし生あん,115,65.8,8.6,0.5,24.5,0
あずき　あん　つぶし練りあん,239,39.3,5.6,0.6,54,0.1
いんげんまめ　全粒　乾,280,15.3,22.1,2.5,56.4,0
いんげんまめ　全粒　ゆで,127,63.6,9.3,1.2,24.5,0
いんげんまめ　うずら豆,214,41.4,6.7,1.3,49.6,0.3
いんげんまめ　こし生あん,135,62.3,9.4,0.9,27,0
いんげんまめ　豆きんとん,238,37.8,4.9,0.5,56.2,0.3
えんどう　全粒　青えんどう　乾,310,13.4,21.7,2.3,60.4,0
えんどう　全粒　青えんどう　ゆで,129,63.8,9.2,1,25.2,0
えんどう　全粒　赤えんどう　乾,310,13.4,21.7,2.3,60.4,0
えんどう　全粒　赤えんどう　ゆで,129,63.8,9.2,1,25.2,0
えんどう　グリンピース揚げ豆,375,5.6,20.8,11.6,58.8,0.9
えんどう　塩豆,321,6.3,23.3,2.4,61.5,1.5
えんどう　うぐいす豆,228,39.7,5.6,0.7,52.9,0.4
えんどう　うぐいすあん,221,38.5,5.4,0.8,54.8,0.1
ささげ　全粒　乾,280,15.5,23.9,2,55,0
ささげ　全粒　ゆで,130,63.9,10.2,0.9,23.8,0
そらまめ　全粒　乾,323,13.3,26,2,55.9,0
そらまめ　フライビーンズ,436,4,24.7,20.8,46.4,1.8
そらまめ　おたふく豆,237,37.2,7.9,1.2,52.2,0.4
そらまめ　ふき豆,251,34.5,9.6,1.6,52.5,0.8
そらまめ　しょうゆ豆,173,50.2,9.8,0.9,37.1,1.2
だいず　［全粒・全粒製品］　全粒　青大豆　国産　乾,354,12.5,33.5,19.3,30.1,0
だいず　［全粒・全粒製品］　全粒　青大豆　国産　ゆで,145,65.5,15,8.2,9.9,0
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　乾,372,12.4,33.8,19.7,29.5,0
だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで,163,65.4,14.8,9.8,8.4,0
だいず　［全粒・全粒製品］　全粒　黄大豆　米国産　乾,402,11.7,33,21.7,28.8,0
だいず　［全粒・全粒製品］　全粒　黄大豆　中国産　乾,391,12.5,32.8,19.5,30.8,0
だいず　［全粒・全粒製品］　全粒　黄大豆　ブラジル産　乾,414,8.3,33.6,22.6,30.7,0
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　乾,349,12.7,33.9,18.8,28.9,0
だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,155,65.1,14.7,8.6,9.8,0
だいず　［全粒・全粒製品］　いり大豆　青大豆,425,2.7,37.7,20.7,33.9,0
だいず　［全粒・全粒製品］　いり大豆　黄大豆,429,2.5,37.5,21.6,33.3,0
だいず　［全粒・全粒製品］　いり大豆　黒大豆,431,2.4,36.4,22,34.3,0
だいず　［全粒・全粒製品］　水煮缶詰　黄大豆,124,71.7,12.9,6.7,7.7,0.5
だいず　［全粒・全粒製品］　蒸し大豆　黄大豆,186,57.4,16.6,9.8,13.8,0.6
だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,424,5.9,37,22.8,29.3,0
だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,418,5.2,36.6,24.6,28.3,0
だいず　［全粒・全粒製品］　きな粉　黄大豆　全粒大豆,451,4,36.7,25.7,28.5,0
だいず　［全粒・全粒製品］　きな粉　黄大豆　脱皮大豆,456,2.6,37.5,25.1,29.5,0
だいず　［全粒・全粒製品］　きな粉砂糖入り　青きな粉,392,3.3,18.5,11.4,64.3,0
だいず　［全粒・全粒製品］　きな粉砂糖入り　きな粉,406,2.3,18.3,12.9,63.9,0
だいず　［全粒・全粒製品］　大豆はいが,404,3.9,37.8,14.7,39.5,0
だいず　［全粒・全粒製品］　ぶどう豆,265,36,14.1,9.4,37,1.6
だいず　［豆腐・油揚げ類］　木綿豆腐,73,85.9,7,4.9,1.5,0
だいず　［豆腐・油揚げ類］　木綿豆腐　凝固剤：塩化マグネシウム,73,85.9,7,4.9,1.5,0.1
だいず　［豆腐・油揚げ類］　木綿豆腐　凝固剤：硫酸カルシウム,73,85.9,7,4.9,1.5,0
だいず　［豆腐・油揚げ類］　絹ごし豆腐,56,88.5,5.3,3.5,2,0
だいず　［豆腐・油揚げ類］　絹ごし豆腐　凝固剤：塩化マグネシウム,56,88.5,5.3,3.5,2,0
だいず　［豆腐・油揚げ類］　絹ごし豆腐　凝固剤：硫酸カルシウム,56,88.5,5.3,3.5,2,0
だいず　［豆腐・油揚げ類］　ソフト豆腐,56,88.9,5.1,3.3,2,0
だいず　［豆腐・油揚げ類］　充てん豆腐,56,88.6,5,3.1,2.5,0
だいず　［豆腐・油揚げ類］　沖縄豆腐,99,81.8,9.1,7.2,0.7,0.4
だいず　［豆腐・油揚げ類］　ゆし豆腐,47,90,4.3,2.8,1.7,0.6
だいず　［豆腐・油揚げ類］　焼き豆腐,82,84.8,7.8,5.7,1,0
だいず　［豆腐・油揚げ類］　生揚げ,143,75.9,10.7,11.3,0.9,0
だいず　［豆腐・油揚げ類］　絹生揚げ,103,80.5,7.9,7.7,2.9,0
だいず　［豆腐・油揚げ類］　油揚げ　生,377,39.9,23.4,34.4,0.4,0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　生,266,56.9,18.2,23.4,Tr,0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　ゆで,164,72.6,12.4,13.8,0.3,0
だいず　［豆腐・油揚げ類］　油揚げ　油抜き　焼き,361,40.2,24.9,32.2,0.7,0
だいず　［豆腐・油揚げ類］　油揚げ　甘煮,231,54.9,11.2,13,19.1,1.2
だいず　［豆腐・油揚げ類］　がんもどき,223,63.5,15.3,17.8,1.6,0.5
だいず　［豆腐・油揚げ類］　凍り豆腐　乾,496,7.2,50.5,34.1,4.2,1.1
だいず　［豆腐・油揚げ類］　凍り豆腐　水煮,104,79.6,10.7,7.3,1.1,0.7
だいず　［豆腐・油揚げ類］　豆腐よう,183,60.6,9.5,8.3,19.1,1.9
だいず　［豆腐・油揚げ類］　豆腐竹輪　蒸し,121,71.6,14.9,4.4,6.7,1.9
だいず　［豆腐・油揚げ類］　豆腐竹輪　焼き,133,68.8,16.1,4.9,7.5,2.3
だいず　［豆腐・油揚げ類］　ろくじょう豆腐,332,26.5,34.7,21.5,3.8,11
だいず　［納豆類］　糸引き納豆,184,59.5,16.5,10,12.1,0
だいず　［納豆類］　挽きわり納豆,185,60.9,16.6,10,10.5,0
だいず　［納豆類］　五斗納豆,214,45.8,15.3,8.1,24,5.8
だいず　［納豆類］　塩納豆,137,64,8.3,4.4,20.2,2.2
だいず　［納豆類］　寺納豆,248,24.4,18.6,8.1,31.5,14.2
だいず　［納豆類］　干し納豆,357,12,33,16.8,29.3,5.1
だいず　［その他］　おから　生,88,75.5,6.1,3.6,13.8,0
だいず　［その他］　おから　乾燥,333,7.1,23.1,13.6,52.3,0
だいず　［その他］　豆乳　豆乳,43,90.8,3.6,2.8,2.3,0
だいず　［その他］　豆乳　調製豆乳,61,87.9,3.2,3.6,4.8,0.1
だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,57,87.4,2.2,2.2,7.8,0.1
だいず　［その他］　大豆たんぱく　粒状大豆たんぱく,318,7.8,46.3,3,36.7,0
だいず　［その他］　大豆たんぱく　濃縮大豆たんぱく,313,6.8,58.2,1.7,27.9,1.4
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分無調整タイプ,335,5.9,79.1,3,7.5,3.3
だいず　［その他］　大豆たんぱく　分離大豆たんぱく　塩分調整タイプ,335,5.9,79.1,3,7.5,1.6
だいず　［その他］　大豆たんぱく　繊維状大豆たんぱく,365,5.8,59.3,5,25.2,3.6
だいず　［その他］　湯葉　生,218,59.1,21.8,13.7,4.1,0
だいず　［その他］　湯葉　干し　乾,485,6.9,50.4,32.1,7.2,0
だいず　［その他］　湯葉　干し　湯戻し,151,72.8,15.7,10.6,0.1,0
だいず　［その他］　金山寺みそ,247,34.3,6.9,3.2,50,5.1
だいず　［その他］　ひしおみそ,198,46.3,6.5,2.7,38.8,4.8
だいず　［その他］　テンペ,180,57.8,15.8,9,15.4,0
つるあずき　全粒　乾,297,12,20.8,1.6,61.8,0
つるあずき　全粒　ゆで,132,60.5,9.7,1,27.5,0
ひよこまめ　全粒　乾,336,10.4,20,5.2,61.5,0
ひよこまめ　全粒　ゆで,149,59.6,9.5,2.5,27.4,0
ひよこまめ　全粒　フライ　味付け,366,4.6,18.8,10.4,62.6,1.8
べにばないんげん　全粒　乾,273,15.4,17.2,1.7,61.2,0
べにばないんげん　全粒　ゆで,103,69.7,6.2,0.6,22.3,0
やぶまめ　乾,383,13.1,23.4,10.1,49.5,0
らいまめ　全粒　乾,306,11.7,21.9,1.8,60.8,0
らいまめ　全粒　ゆで,122,62.3,9.6,0.9,26,0
りょくとう　全粒　乾,319,10.8,25.1,1.5,59.1,0
りょくとう　全粒　ゆで,125,66,10.2,0.6,22.5,0
レンズまめ　全粒　乾,313,12,23.2,1.5,60.7,0
レンズまめ　全粒　ゆで,149,57.9,11.2,0.8,29.1,0
アーモンド　乾,609,4.7,19.6,51.8,20.9,0
アーモンド　フライ　味付け,626,1.8,21.3,55.7,17.9,0.3
アーモンド　いり　無塩,608,1.8,20.3,54.1,20.7,0
あさ　乾,450,4.6,29.9,28.3,31.7,0
あまに　いり,540,0.8,21.8,43.3,30.4,0.2
えごま　乾,523,5.6,17.7,43.4,29.4,0
カシューナッツ　フライ　味付け,591,3.2,19.8,47.6,26.7,0.6
かぼちゃ　いり　味付け,590,4.5,26.5,51.8,12,0.1
かや　いり,629,1.2,8.7,64.9,22.6,0
ぎんなん　生,168,57.4,4.7,1.6,34.8,0
ぎんなん　ゆで,169,56.9,4.6,1.5,35.8,0
くり類　日本ぐり　生,147,58.8,2.8,0.5,36.9,0
くり類　日本ぐり　ゆで,152,58.4,3.5,0.6,36.7,0
くり類　日本ぐり　甘露煮,232,40.8,1.8,0.4,56.8,0
くり類　中国ぐり　甘ぐり,207,44.4,4.9,0.9,48.5,0
くるみ　いり,713,3.1,14.6,68.8,11.7,0
けし　乾,555,3,19.3,49.1,21.8,0
ココナッツ　ココナッツパウダー,676,2.5,6.1,65.8,23.7,0
ごま　乾,604,4.7,19.8,53.8,16.5,0
ごま　いり,605,1.6,20.3,54.2,18.5,0
ごま　むき,570,4.1,19.3,54.9,18.8,0
ごま　ねり,646,0.5,19,61,15.6,0
しい　生,244,37.3,3.2,0.8,57.6,0
すいか　いり　味付け,528,5.9,29.6,46.4,13.4,1.5
チアシード　乾,446,6.5,19.4,33.9,34.5,0
とち　蒸し,148,58,1.7,1.9,34.2,0.6
はす　未熟　生,81,77.5,5.9,0.5,14.9,0
はす　成熟　乾,327,11.2,18.3,2.3,64.3,0
はす　成熟　ゆで,118,66.1,7.3,0.8,25,0
ひし類　ひし　生,183,51.8,5.8,0.5,40.6,0
ひし類　とうびし　生,122,64.3,2.7,0.4,31.4,0
ひし類　とうびし　ゆで,120,65.5,2.7,0.3,30.5,0
ピスタチオ　いり　味付け,617,2.2,17.4,56.1,20.9,0.7
ひまわり　フライ　味付け,603,2.6,20.1,56.3,17.2,0.6
ブラジルナッツ　フライ　味付け,703,2.8,14.9,69.1,9.6,0.2
ヘーゼルナッツ　フライ　味付け,701,1,13.6,69.3,13.9,0.1
ペカン　フライ　味付け,716,1.9,9.6,73.4,13.3,0.4
マカダミアナッツ　いり　味付け,751,1.3,8.3,76.7,12.2,0.5
まつ　生,681,2.5,15.8,68.2,10.6,0
まつ　いり,724,1.9,14.6,72.5,8.1,0
らっかせい　大粒種　乾,572,6,25.2,47,19.4,0
らっかせい　大粒種　いり,613,1.7,25,49.6,21.3,0
らっかせい　小粒種　乾,573,6,25.4,47.5,18.8,0
らっかせい　小粒種　いり,607,2.1,26.5,49.4,19.6,0
らっかせい　バターピーナッツ,609,2.4,23.3,53.2,18.3,0.3
らっかせい　ピーナッツバター,599,1.2,20.6,50.4,24.9,0.9
アーティチョーク　花らい　生,39,85.1,2.3,0.2,11.3,0.1
アーティチョーク　花らい　ゆで,35,85.9,2.1,0.1,10.8,0
アイスプラント　生,5,96.2,0.5,0.3,1.2,1
あさつき　葉　生,34,89,4.2,0.3,5.6,0
あさつき　葉　ゆで,41,87.3,4.2,0.3,7.3,0
あしたば　茎葉　生,30,88.6,3.3,0.1,6.7,0.2
あしたば　茎葉　ゆで,28,89.5,2.9,0.1,6.6,0.1
アスパラガス　若茎　生,21,92.6,2.6,0.2,3.9,0
アスパラガス　若茎　ゆで,25,92,2.6,0.1,4.6,0
アスパラガス　若茎　油いため,54,88.3,2.9,3.9,4.1,0
アスパラガス　水煮缶詰,24,91.9,2.4,0.1,4.3,0.9
アロエ　葉　生,3,99,0,0.1,0.7,0
いんげんまめ　さやいんげん　若ざや　生,23,92.2,1.8,0.1,5.1,0
いんげんまめ　さやいんげん　若ざや　ゆで,24,91.7,1.8,0.2,5.5,0
うど類　うど　茎　生,19,94.4,0.8,0.1,4.3,0
うど類　うど　茎　水さらし,13,95.7,0.6,0,3.4,0
うど類　やまうど　茎　生,19,93.9,1.1,0.1,4.3,0
うるい　葉　生,19,92.8,1.9,0.4,4,0
えだまめ　生,125,71.7,11.7,6.2,8.8,0
えだまめ　ゆで,118,72.1,11.5,6.1,8.9,0
えだまめ　冷凍,143,67.1,13,7.6,10.6,0
エンダイブ　葉　生,14,94.6,1.2,0.2,2.9,0.1
えんどう類　トウミョウ　茎葉　生,28,90.9,3.8,0.4,4,0
えんどう類　トウミョウ　芽ばえ　生,27,92.2,3.8,0.4,3.2,0
えんどう類　トウミョウ　芽ばえ　ゆで,28,91.7,3.6,0.6,3.8,0
えんどう類　トウミョウ　芽ばえ　油いため,84,84.3,5,5.9,4.3,0
えんどう類　さやえんどう　若ざや　生,38,88.6,3.1,0.2,7.5,0
えんどう類　さやえんどう　若ざや　ゆで,36,89.1,3.2,0.2,7,0
えんどう類　スナップえんどう　若ざや　生,47,86.6,2.9,0.1,9.9,0
えんどう類　グリンピース　生,76,76.5,6.9,0.4,15.3,0
えんどう類　グリンピース　ゆで,99,72.2,8.3,0.2,18.5,0
えんどう類　グリンピース　冷凍,80,75.7,5.8,0.7,17.1,0
えんどう類　グリンピース　冷凍　ゆで,82,74.6,6.2,0.7,17.8,0
えんどう類　グリンピース　冷凍　油いため,114,70.1,6.3,4.6,18.2,0
えんどう類　グリンピース　水煮缶詰,82,74.9,3.6,0.4,19.7,0.8
おおさかしろな　葉　生,12,94.9,1.4,0.2,2.2,0.1
おおさかしろな　葉　ゆで,16,94,1.6,0.3,3.1,0.1
おおさかしろな　塩漬,19,91,1.3,0.3,4.5,1.6
おかひじき　茎葉　生,16,92.5,1.4,0.2,3.4,0.1
おかひじき　茎葉　ゆで,16,92.9,1.2,0.1,3.8,0.2
オクラ　果実　生,26,90.2,2.1,0.2,6.6,0
オクラ　果実　ゆで,25,89.4,2.1,0.1,7.6,0
かぶ　葉　生,20,92.3,2.3,0.1,3.9,0.1
かぶ　葉　ゆで,20,92.2,2.3,0.1,4.4,0
かぶ　根　皮つき　生,18,93.9,0.7,0.1,4.6,0
かぶ　根　皮つき　ゆで,18,93.8,0.7,0.1,4.7,0
かぶ　根　皮なし　生,19,93.9,0.6,0.1,4.8,0
かぶ　根　皮なし　ゆで,20,93.7,0.6,0.1,5,0
かぶ　漬物　塩漬　葉,27,87.9,2.3,0.2,6,2.3
かぶ　漬物　塩漬　根　皮つき,21,90.5,1,0.2,4.9,2.8
かぶ　漬物　塩漬　根　皮なし,19,89.4,0.8,0.1,4.7,4.3
かぶ　漬物　ぬかみそ漬　葉,35,83.5,3.3,0.1,7.1,3.8
かぶ　漬物　ぬかみそ漬　根　皮つき,27,89.5,1.5,0.1,5.9,2.2
かぶ　漬物　ぬかみそ漬　根　皮なし,31,83.5,1.4,0.1,6.9,6.9
かぼちゃ類　日本かぼちゃ　果実　生,41,86.7,1.6,0.1,10.9,0
かぼちゃ類　日本かぼちゃ　果実　ゆで,55,84,1.9,0.1,13.3,0
かぼちゃ類　西洋かぼちゃ　果実　生,78,76.2,1.9,0.3,20.6,0
かぼちゃ類　西洋かぼちゃ　果実　ゆで,80,75.7,1.6,0.3,21.3,0
かぼちゃ類　西洋かぼちゃ　果実　焼き,105,68.2,2.5,0.4,27.7,0
かぼちゃ類　西洋かぼちゃ　果実　冷凍,75,78.1,2.2,0.3,18.5,0
かぼちゃ類　そうめんかぼちゃ　果実　生,25,92.4,0.7,0.1,6.1,0
からしな　葉　生,26,90.3,3.3,0.1,4.7,0.2
からしな　塩漬,36,84.5,4,0.1,7.2,2.5
カリフラワー　花序　生,28,90.8,3,0.1,5.2,0
カリフラワー　花序　ゆで,26,91.5,2.7,0.1,5.1,0
かんぴょう　乾,239,19.8,6.3,0.2,68.1,0
かんぴょう　ゆで,21,91.6,0.7,0,7.2,0
かんぴょう　甘煮,146,57.6,2.3,0.2,36.5,3.1
きく　花びら　生,25,91.5,1.4,0,6.5,0
きく　花びら　ゆで,21,92.9,1,0,5.7,0
きく　菊のり,283,9.5,11.6,0.2,73.5,0
キャベツ類　キャベツ　結球葉　生,23,92.9,1.2,0.1,5.2,0
キャベツ類　キャベツ　結球葉　ゆで,19,93.9,0.9,0.2,4.6,0
キャベツ類　キャベツ　結球葉　油いため,78,85.7,1.6,6,5.9,0
キャベツ類　キャベツ　結球葉　カット　常法洗浄,15,94.8,1.1,0.1,3.6,0
キャベツ類　キャベツ　結球葉　カット　次亜塩素酸洗浄,14,95.1,1,0.2,3.2,0
キャベツ類　グリーンボール　結球葉　生,20,93.4,1.4,0.1,4.3,0
キャベツ類　レッドキャベツ　結球葉　生,30,90.4,2,0.1,6.7,0
きゅうり　果実　生,13,95.4,1,0.1,3,0
きゅうり　漬物　塩漬,17,92.1,1,0.1,3.7,2.5
きゅうり　漬物　しょうゆ漬,51,81,3.2,0.4,10.8,4.1
きゅうり　漬物　ぬかみそ漬,28,85.6,1.5,0.1,6.2,5.3
きゅうり　漬物　ピクルス　スイート型,70,80,0.3,0.1,18.3,1.1
きゅうり　漬物　ピクルス　サワー型,13,93.4,1.4,Tr,2.5,2.5
ぎょうじゃにんにく　葉　生,35,88.8,3.5,0.2,6.6,0
キンサイ　茎葉　生,16,93.5,1.1,0.4,3.5,0.1
キンサイ　茎葉　ゆで,15,93.6,1.1,0.4,3.5,0.1
クレソン　茎葉　生,13,94.1,2.1,0.1,2.5,0.1
くわい　塊茎　生,128,65.5,6.3,0.1,26.6,0
くわい　塊茎　ゆで,129,65,6.2,0.1,27.2,0
ケール　葉　生,26,90.2,2.1,0.4,5.6,0
コールラビ　球茎　生,21,93.2,1,0,5.1,0
コールラビ　球茎　ゆで,20,93.1,1,Tr,5.2,0
こごみ　若芽　生,25,90.7,3,0.2,5.3,0
ごぼう類　ごぼう　根　生,58,81.7,1.8,0.1,15.4,0
ごぼう類　ごぼう　根　ゆで,50,83.9,1.5,0.2,13.7,0
ごぼう類　堀川ごぼう　根　生,55,75.7,3.2,0.2,19.1,0
こまつな　葉　生,13,94.1,1.5,0.2,2.4,0
こまつな　葉　ゆで,14,94,1.6,0.1,3,0
コリアンダー　葉　生,18,92.4,1.4,0.4,4.6,0
ザーサイ　漬物,20,77.6,2.5,0.1,4.6,13.7
さんとうさい　葉　生,12,94.7,1,0.2,2.7,0
さんとうさい　葉　ゆで,14,94.3,1.4,0.3,2.9,0
さんとうさい　塩漬,18,90.3,1.5,0.3,4,2.3
しかくまめ　若ざや　生,19,92.8,2.4,0.1,3.8,0
ししとう類　ししとう　果実　生,24,91.4,1.9,0.3,5.7,0
ししとう類　ししとう　果実　油いため,51,88.3,1.9,3.2,5.8,0
ししとう類　万願寺とうがらし　果実　生,26,91.6,1.3,0.3,6.2,0
しそ　葉　生,32,86.7,3.9,0.1,7.5,0
しそ　実　生,32,85.7,3.4,0.1,8.9,0
じゅうろくささげ　若ざや　生,22,91.9,2.5,0.1,4.8,0
じゅうろくささげ　若ざや　ゆで,28,90.2,2.8,0.1,6.2,0
しゅんぎく　葉　生,20,91.8,2.3,0.3,3.9,0.2
しゅんぎく　葉　ゆで,25,91.1,2.7,0.5,4.5,0.1
じゅんさい　若葉　水煮びん詰,4,98.6,0.4,0,1,0
しょうが類　葉しょうが　根茎　生,9,96.3,0.5,0.2,2.1,0
しょうが類　しょうが　根茎　皮なし　生,28,91.4,0.9,0.3,6.6,0
しょうが類　しょうが　根茎　皮なし　生　おろし,58,81.6,0.7,0.8,16,0
しょうが類　しょうが　根茎　皮なし　生　おろし汁,17,95.1,0.4,0.3,3.5,0
しょうが類　しょうが　漬物　酢漬,15,89.2,0.3,0.2,3.9,5.6
